"id","type","name","comision"
"__export__.sales_channel_1","agency","CNTravel","20"
"__export__.sales_channel_2","agency","Interrías","21"
"__export__.sales_channel_3","agency","Jumbo Tours","0"
"__export__.sales_channel_4","agency","Urbis","0"
"__export__.sales_channel_5","agency","Tourico","0"
"__export__.sales_channel_6","agency","World2Meet","0"
"__export__.sales_channel_7","agency","GTA","0"
"__export__.sales_channel_8","agency","Miki TRavel","0"
"__export__.sales_channel_9","agency","Travco","0"
"__export__.sales_channel_10","agency","Tee Travel","0"
"__export__.sales_channel_11","agency","Camino de Santiago Reservas","0"
"__export__.sales_channel_12","agency","Camino Ways","0"
"__export__.sales_channel_13","agency","Camino Travel","0"
"__export__.sales_channel_14","agency","Follow the Camino","0"
"__export__.sales_channel_15","agency","Marly Camino","0"
"__export__.sales_channel_16","agency","Rutas Meigas","0"
"__export__.sales_channel_17","agency","Viajes Orbis","0"
"__export__.sales_channel_18","agency","Walk the Camino","0"
"__export__.sales_channel_19","agency","Fresco Tours","0"
"__export__.sales_channel_20","agency","Across Spain","0"
"__export__.sales_channel_21","agency","Portugal Tours","0"
"__export__.sales_channel_22","agency","Viviendo Experiencias","0"
"__export__.sales_channel_23","agency","Viajes Abreu","0"
"__export__.sales_channel_24","agency","Veronia Tours","0"
"__export__.sales_channel_25","operator","Viajes el Corte Inglés","12"
"__export__.sales_channel_26","operator","B The Travel Brand	","0"
"__export__.sales_channel_27","operator","Nautalia","0"
"__export__.sales_channel_28","operator","Destinia","0"
"__export__.sales_channel_29","operator","Viajes Carrefour","0"
"__export__.sales_channel_30","operator","Viajes Eroski","0"
"__export__.sales_channel_31","operator","Globalia","0"
"__export__.sales_channel_32","operator","Woman to Santiago","0"
"__export__.sales_channel_33","operator","Carlson Wagonlit","0"
"__export__.sales_channel_34","operator","Bibestour","0"
"__export__.sales_channel_35","operator","Viajes Iberia	","0"
"__export__.sales_channel_36","operator","Otros","0"
"__export__.sales_channel_37","agency","Otras","0"
